srno|code|name|flag|Module_Name
67|Mas|Forex Master|0|Front Office
68|Mas|Guest History|0|Front Office
69|Mas|Group Profile|0|Front Office
70|Mas|Room Display|1|Front Office
71|Pos|Point of Sale|0|Point of Sale
72|POSMas|Setup Outlet|1|Point of Sale
73|POSMas|Outlet Bill Sundry Setting|0|Point of Sale
74|POSMas|Server Master|0|Point of Sale
75|POSMas|Table Master|0|Point of Sale
76|POSMas|Item List|0|Point of Sale
77|POSMas|Menu Group|0|Point of Sale
78|POSMas|Menu Category|0|Point of Sale
79|POSMas|Menu Item|0|Point of Sale
80|POSMas|Menu Item Rate|0|Point of Sale
81|POSMas|Rate Group Master|0|Point of Sale
82|POSMas|Session Master|1|Point of Sale
83|POSMas|Open Item Consumption|0|Point of Sale
84|POSMas|Scheme Master|0|Point of Sale
85|POSMas|Happy Hours|0|Point of Sale
86|POSMas|Happy Hours [ Free Items ]|1|Point of Sale
87|POSMas|Combo Pack|0|Point of Sale
88|POSMas|NC Type|0|Point of Sale
89|POSMas|Customer History|0|Point of Sale
90|POSMas|Delivery Boy|0|Point of Sale
91|Mem|Members Mgmt|0|Members Mgmt
92|MemMas|Category Master|1|Members Mgmt
93|MemMas|Member Master|0|Members Mgmt
94|MemMas|Corporate Member Master|0|Members Mgmt
95|MemMas|Revenue Master|0|Members Mgmt
96|MemMas|Facility Master|0|Members Mgmt
97|MemMas|Category wise Revenue|0|Members Mgmt
98|MemMas|Category wise Facility|0|Members Mgmt
99|MemMas|Member Bill Sundry Setting|0|Members Mgmt
100|MemMas|Environment Settings|0|Members Mgmt
101|MemMas|Member Age Wise Revenue|0|Members Mgmt
102|HL|Banquet|0|Banquet
103|HallM|Events|1|Banquet
104|HallM|Venue Features|0|Banquet
105|HallM|Venue Master|0|Banquet
106|HallM|Menu Category|0|Banquet
107|HallM|Item Group|0|Banquet
108|HallM|Menu Item|0|Banquet
109|HallM|Catalog Master|0|Banquet
110|HallM|Banquet Bill Sundry Setting|0|Banquet
111|CCenter|Inventory|0|Inventory
112|CCenterMas|Party Master|1|Inventory
113|CCenterMas|Department|0|Inventory
114|CCenterMas|Item Group|0|Inventory
115|CCenterMas|Item Category|0|Inventory
116|CCenterMas|Item Entry|0|Inventory
117|CCenterMas|Consumption Master|0|Inventory
118|CCenterMas|Purchase Sundry Setting|1|Inventory
119|CCenterMas|Location Master|0|Inventory
120|CCenterMas|Opening Stock|1|Inventory
121|CCenterMas|Item  List|0|Inventory
122|CCenterMas|Shift Master|0|Inventory
123|CCenterMas|Enviro Inventry|1|Inventory
124|PR|HR/Payroll|0|HR/Payroll
125|PRM|Designation Master|1|HR/Payroll
126|PRM|Category  Master|0|HR/Payroll
127|PRM|Holiday Master|0|HR/Payroll
128|PRM|Employee Master|0|HR/Payroll
129|Tel|EPABX|0|EPABX
130|TelMaast|Com Port Properties|1|EPABX
131|TelMaast|Call Type Master|1|EPABX
132|TelMaast|Extension Master|0|EPABX
133|TelMaast|Call Codes Master|0|EPABX
134|TelMaast|Call Control Master|0|EPABX
135|fae|Finance|1|Finance
136|fame|Group Accounts|1|Finance
137|fame|Ledger Accounts|0|Finance
138|fame|Narration Master|0|Finance
139|fame|T.D.S. Category|0|Finance
140|fame|FA Environment|0|Finance
141|fame|Voucher Environment|0|Finance
142|fame|Opening Balance Updation|0|Finance
143|fame|Year End Updation|1|Finance
144|fame|Current Balance Updation|0|Finance
145|fame|Country Master|0|Finance
146|fame|State Master|1|Finance
147|fame|City Master|1|Finance
148|fame|Delete Message|1|Finance
149|fame|Account Merging|0|Finance
150|fame|Voucher Serialisation|0|Finance
151|Util|Utility|0|Utility
152|UTL|User Master|1|Utility
153|UTL|Permissions|0|Utility
154|UTL|Update Database Nulls|0|Utility
155|UTL|Backup Data|1|Utility
156|UTL|Account Merging|0|Utility
157|UTL|Guest Parameters Setting|1|Utility
158|UTL|Sundry Master|1|Utility
159|UTL|Voucher Wise Sundry Entry|0|Utility
160|UTL|Sale MIS Customized|1|Utility
161|UTL|Guest BirthDates/Anniversary|1|Utility
162|UTL|Inconsistency Check|1|Utility
163|UTL|Year End Updation|0|Utility
164|UTL|Data Transfer|0|Utility
165|UTL|Data Recieving|1|Utility
166|UTL|Menu Item Copy|1|Utility
167|UTL|POS Bill Deletion|0|Utility
168|UTL|Guest LookUp|0|Utility
169|UTL|Country Master|0|Utility
170|UTL|State Master|0|Utility
171|UTL|City Master|0|Utility
172|UTL|Company Master|0|Utility
173|UTL|Department|0|Utility
174|UTL|Ledger Accounts|0|Utility
175|UTL|Data Transfer (POS)|0|Utility
176|UTL|PLU File (W.Scale)|1|Utility
177|UTL|User Permissions (Advanced)|1|Utility
178|UTL|POS Recycle|1|Utility
179|UTL|Unit Master|0|Utility
180|UTL|Task Scheduler|0|Utility
181|SCard|Smart Card|0|Smart Card
182|SCRD|Registration Entry|1|Smart Card
183|SCRD|Recharge/Refund Entry|0|Smart Card
185|SCRD|Cash Card Transaction Report|0|Smart Card
186|SCRD|Cash Card Collection Summary|0|Smart Card
188|ReservationEnt|Operations|1|Operations
189|ResOpEnt|Reservation/Cancellation|1|Operations
190|ResOpEnt|Add/Edit/Delete Group With Reservation|0|Operations
191|ResOpEnt|Look Up Room types|1|Operations
192|ResOpEnt|Look Up Rooms|0|Operations
193|ResOpEnt|Reservation With History|0|Operations
194|ResOpEnt|Advance Deposit|0|Operations
195|ResOpEnt|Confirmation Letters|0|Operations
196|ResOpEnt|Cancellation Letters|0|Operations
197|ResOpEnt|Registration Card|0|Operations
198|ResOpEnt|Reservation Status Screen|0|Operations
199|ReservationEnt|Reservation Status Report|0|Reservation Status Report
200|ResStatusRpt|Reservation Status|1|Reservation Status Report
201|ResStatusRpt|Reservation Status Arrival|1|Reservation Status Report
202|ResStatusRpt|Reservation Status In-House|1|Reservation Status Report
203|ResStatusRpt|Group Pickup Report|1|Reservation Status Report
204|ResStatusRpt|Group Arrival Report|1|Reservation Status Report
205|ResStatusRpt|Arrival List|1|Reservation Status Report
206|ReservationEnt|Advance Recd. Report|1|Advance Recd. Report
207|AdvRecdRpt|Advance Recd.|1|Advance Recd. Report
208|AdvRecdRpt|Advance Recd. Arrival|1|Advance Recd. Report
209|AdvRecdRpt|Advance Recd. In-House|1|Advance Recd. Report
210|ReservationEnt|M.I.S.|1|M.I.S.
211|ReservationMIS|7-730 Days Forecast|1|M.I.S.
212|ReservationMIS|23 Day Room Availability Forecast|0|M.I.S.
213|ReservationMIS|23 Day Room Type Availability Forecast|0|M.I.S.
214|ReservationMIS|Package Forecast|0|M.I.S.
216|FDO|Operations|1|Operations
217|FDOMenu|WalkIn CheckIn|1|Operations
218|FDOMenu|Room Status|0|Operations
219|FDOMenu|Expense Entry|0|Operations
220|FDOMenu|Forex Receive Entry|0|Operations
221|FDOMenu|Display Rack|0|Operations
222|FDOMenu|House Keeping Screen|0|Operations
223|FDOMenu|Travel Agency Posting|1|Operations
224|FDOMenu|Bill Reprint|1|Operations
225|FDOMenu|Reverse Check Out|0|Operations
226|FDOMenu|Merge Room|0|Operations
227|FDOMenu|Bill Re-Settlement|0|Operations
228|FDOMenu|Reverse Room Merge|0|Operations
229|FDOMenu|Plan Meal Tokens|0|Operations
230|FDOMenu|GRC Printing|0|Operations
231|FDOMenu|Blank GRC|0|Operations
232|FDOReports|Reports|1|Reports
233|FDORep|Instant House Count|1|Reports
234|FDORep|Room Inventory|1|Reports
235|FDORep|Guest In House|1|Reports
236|FDORep|House Keeping Report|1|Reports
237|FDORep|Arrival & Departure List|1|Reports
238|FDORep|Charge Payment Detail|1|Reports
239|FDORep|Payments By Cashier|1|Reports
240|FDORep|Cashier Report|1|Reports
241|FDORep|Settlement Report|1|Reports
242|FDORep|Cancel Bill Details|1|Reports
243|FDORep|Room Change History|1|Reports
244|FDORep|Arrival And Departure Register|1|Reports
245|FDORep|FOM Sales Register|1|Reports
246|FDORep|Room Wise Plan Detail|1|Reports
247|FDORep|Expected Plan/Package FB Details|1|Reports
248|FDORep|Occupancy Report|1|Reports
249|FDORep|Bill Change Report|1|Reports
250|FDORep|Check Out Register|1|Reports
251|FDORep|Check In Register|1|Reports
252|FDORep|Expected Check Out|1|Reports
253|FDORep|Guest Bill Details|1|Reports
254|FDORep|Guest Extra Charges|1|Reports
255|FDORep|Checked In Guest Detail|1|Reports
256|FDORep|Room Rent Audit Report|1|Reports
257|FDORep|Sales Report|1|Reports
258|FDORep|Guest Payments|1|Reports
259|TFDOForms|Tourism Forms|1|Tourism Forms
260|FDOForms|Form  C|1|Tourism Forms
261|FDOForms|Tourism Form 1|0|Tourism Forms
262|FDOForms|Tourism Form 2|0|Tourism Forms
263|FDOForms|Tourism Form 5|0|Tourism Forms
264|FDOForms|Form -3 (Luxury Tax Register)|0|Tourism Forms
265|FDOForms|Tourism Form 6|1|Tourism Forms
266|FDOForms|Tourism Form 4|0|Tourism Forms
267|FDOForms|Luxury Tax Report|0|Tourism Forms
268|FDOForms|Monthly Return|0|Tourism Forms
269|FDOForms|L.T. FORM II|0|Tourism Forms
270|FDOForms|L.T. FORM IV|0|Tourism Forms
271|FDOMIS|M.I.S.|0|M.I.S.
272|FDOMISRep|Occupancy Display|1|M.I.S.
273|FDOMISRep|Guest wise Analysis|1|M.I.S.
274|FDOMISRep|Company wise Analysis|1|M.I.S.
275|FDOMISRep|Guestwise Charges Detail|1|M.I.S.
276|FDOMISRep|Room Occupancy|1|M.I.S.
277|FDOMISRep|Room Type Occupancy|1|M.I.S.
278|FDOMISRep|Room Wise Room Revenue|1|M.I.S.
279|FDOMISRep|Occupancy Analysis|1|M.I.S.
280|FDOMISRep|Company wise Nights|1|M.I.S.
281|FDOMISRep|Revenue During the stay|1|M.I.S.
282|FDOTax|Tax Reports|1|Tax Reports
283|FDOTaxr|FOM Tax Detail|1|Tax Reports
284|FDOTaxr|Tax Wise Charge Detail|0|Tax Reports
286|SetHK|Setup|1|Setup
287|HouseSet|Block Master|1|Setup
288|TransHK|Operations|0|Operations
289|HouseEnt|Complaint Master|1|Operations
290|HouseEnt|Complaint Clearance|0|Operations
291|HouseEnt|Lost / Found Entry|0|Operations
292|HouseEnt|Claim Entry|0|Operations
293|HouseEnt|House Keeping Op.Stock Entry|0|Operations
294|HouseEnt|Issue/Recd. Entry|1|Operations
295|HouseEnt|House Keeping Screen|1|Operations
296|HouseEnt|Item Issued On Cleaning|0|Operations
297|HouseEnt|Check Out Clearance Screen|0|Operations
298|HouseEnt|Room Block|0|Operations
299|ReportsHK|Reports|1|Reports
300|HouseREP|Issue Register|1|Reports
301|HouseREP|Stock Register|1|Reports
302|HouseREP|Stock Summary|1|Reports
303|HouseREP|Room Status Report|1|Reports
304|HouseREP|Complaint Detail|1|Reports
305|HouseREP|House Keeping Report|1|Reports
306|CHANGEHK|Changes Department|1|Changes Department
308|Matop|Operations|1|Operations
309|Purch|Gravy Item Entry|1|Operations
310|Purch|Indent|1|Operations
311|Purch|Purchase Order|0|Operations
312|Purch|M.R. Entry|0|Operations
313|Purch|Purchase Bill|0|Operations
314|Purch|Requisition Slip|0|Operations
315|Purch|Stock Issue on Requisition|0|Operations
316|Purch|Kitchen Closing Stock|0|Operations
317|Purch|Stock Transfer|0|Operations
318|Purch|Finish Material Receive Entry|0|Operations
319|Purch|Excise Invoice Cum Gate Pass|1|Operations
320|MatLok|Look Ups|1|Look Ups
321|MatStat|Pending Indent|1|Look Ups
322|MatStat|Pending M.R.|0|Look Ups
323|MatStat|Pending Purchase Order|0|Look Ups
324|MatReports|Reports|1|Reports
325|MatRep|Purchase Register|1|Reports
326|MatRep|Purchase Summary|1|Reports
327|MatRep|Cash/Credit Purchase|1|Reports
328|MatRep|Stock Register|1|Reports
329|MatRep|Stock Summary|1|Reports
330|MatRep|Stock In Hand|1|Reports
331|MatRep|Kitchen Stock Report I/R Basis|1|Reports
332|MatRep|Excess Consumption Report|1|Reports
333|MatRep|Restaurant Issue Report|1|Reports
334|MatRep|Store Issue Register|1|Reports
335|MatRep|Change Kitchen/Store|1|Reports
336|MatRep|Daily Store Issue Reports|1|Reports
337|MatRep|Purchase Ledger|1|Reports
338|MatRep|Issue CheckList|1|Reports
339|MatRep|Stock Summary P/S Basis|1|Reports
340|MatRep|ABC Analysis|1|Reports
341|MatRep|Production Report I/R Basis|1|Reports
342|MatVat|Tax Reports|1|Tax Reports
343|MatVatR|VAT Register|1|Tax Reports
344|MatVatR|VAT Register II|0|Tax Reports
345|MatVatR|VAT Register III|0|Tax Reports
346|MatVatR|Form24 Annexure-A|0|Tax Reports
347|MatVatR|Form III|0|Tax Reports
348|MatVatR|UPVAT XXIV|0|Tax Reports
350|Rest|Stock Register|1|Stock Register
351|Rest|Stock Summary|1|Stock Summary
352|Rest|Kitchen Stock Summary|1|Kitchen Stock Summary
353|Rest|Restaurant Change|1|Restaurant Change
354|Rest|POS Status|1|POS Status
355|POSOperations|POS Operations|0|POS Operations
356|POSEnt|KOT Entry|1|POS Operations
357|POSEnt|Table Change Entry|0|POS Operations
358|POSEnt|Sale Bill Entry|0|POS Operations
359|POSEnt|Settlement Entry|0|POS Operations
360|POSEnt|POS Bill Reprint|0|POS Operations
361|POSEnt|Split Sale Bill|0|POS Operations
362|POSEnt|Display Table|0|POS Operations
363|POSEnt|Order Booking|0|POS Operations
364|POSEnt|Bill Lookup|0|POS Operations
365|POSEnt|Order Booking Advance|0|POS Operations
366|POSEnt|KOT Transfer|0|POS Operations
