VB6 <-> PYTHON PARITY MATRIX
==============================================================================
Generated: _qa/gen_parity_matrix.py (skill: vb6-python-parity)
VB6: *.frm captions + inline-SQL table evidence | Py: shell registry + core/ui scan | DB: live-table probe

STATUS SUMMARY
------------------------------------------------------------------------------
  DONE         158
  PARTIAL      145
  UI-ONLY      0
  BLOCKED-TBL  2
  MISSING      13
  TOTAL        318


==============================================================================
## PARTIAL
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
| DepartSundry        | Outlet Bill Sundry Setting | YES       | Y    | Y     | Depart, Enviro, RevMast, SundryMast, S |
| DepOpStk            | Location wise Opening Stoc | YES       | Y    | Y     | DateLock, Depart, GodownMast, ItemMast |
| DMTree              | Form1                      | no        | Y    | -     | UserModule1, menuHelp1                 |
|                     | note: DMTree (ui/dmtree_ui.py) — menuHelp tree renderer |
| EmptyInbox          | Inbox                      | YES       | Y    | Y     | Messaging, USERMAST                    |
| FaAdjust            | Adjustment Entry           | YES       | Y    | Y     | ACGROUP, LEDGERAdj, LEDGERM, Ledger, L |
| FaAdjustDel         | Adjustment Delete          | YES       | Y    | Y     | LEDGERADJ, SUBGROUP                    |
| FaChqClear          | Cheque/DD Clearing Entry   | YES       | Y    | Y     | FAENVIRO, Ledger, SubGroup, VIEWLedger |
| FacilitySundry      | Outlet Bill Sundry Setting | YES       | Y    | Y     | Depart, Enviro, RevMast, SundryMast, S |
| FaCityMast          | City Master                | YES       | Y    | Y     | City, Country, State, city             |
| FaCountryMast       | Country Master             | YES       | Y    | Y     | Country, country                       |
| FaCurrBalUpdate     | Current Balance Updation   | YES       | Y    | Y     | ACGROUPCURRBAL, Booking, BookingCancel |
| FaEnvron            | Environment Setting        | YES       | Y    | Y     | ACGROUP, FAENVIRO, FaEnviro, LEDGER, L |
| FaGlobeNarr         | {Press <Esc> For Cancel && | YES       | Y    | Y     | NarrMast                               |
| FaGrEnt             | Group Accounts Entry       | YES       | Y    | Y     | ACGROUP, AcGroup, Acgroup, LEDGER, SUB |
| FaMagic             | Magic                      | YES       | Y    | Y     | ACGROUP, FAENVIRO                      |
| FaNarrMast          | Narration Master           | YES       | Y    | Y     | NarrMast                               |
| FaReports           | ReprtForm                  | YES       | Y    | Y     | ACGROUP, AcGroup, Budget, City, FAENVI |
| FaRepView           | Form1                      | YES       | -    | Y     |                                        |
|                     | note: FaRepView window (ui/fa_voucher_ui.py) — wired via report captions |
| FaStateMast         | State Master               | YES       | Y    | Y     | Country, State, state                  |
| FaSubGroup          | Ledger Accounts Entry      | YES       | Y    | Y     | AcGroup, CATEGORY, City, Ledger, SUBGR |
| FaTaxVoucher        | Expense Voucher            | YES       | Y    | Y     | City, DEPART, Depart, Enviro, GIN (+30 |
| FaTDSCat            | T.D.S.Category Entry       | YES       | Y    | Y     | TDSCAT                                 |
| FaTDSCertificate    | T.D.S.Certificate Entry    | YES       | Y    | Y     | City, PARTY_LIST, SubGroup, TDSCHAL, T |
| FaTDSChal           | T.D.S.Challan Entry        | YES       | Y    | Y     | City, LEDGER, LEDGERTDS, SUBGROUP, Sub |
| FaVrEnt             | Voucher Entry              | YES       | Y    | Y     | FAENVIRO, LEDGER, LEDGERADJ, LEDGERAdj |
| FaVtype             | Define Voucher Type        | YES       | Y    | Y     | AcGroup, FaEnviro, SUBGROUP, SubGroup, |
| fdAcPostChrg        | Night Audit Process        | YES       | Y    | Y     | Enviro, ItemMast, JobSchedule, JobSche |
| fdAmendEntry        | Amend Stay                 | YES       | Y    | Y     | City, Country, GUESTSTAT, GuestFolio,  |
| fdCheckIn           | Look Up Reservation By Gue | YES       | Y    | Y     | GrpBookingDetails, GuestFolio, GuestPr |
| FdCheckOut          | Room Check Out             | YES       | Y    | Y     | City, EPABX_IN, EmailSMSForward, Envir |
| fdDisplayFolio      | Guest Ledger               | YES       | Y    | Y     | Depart, Enviro, GUESTSTAT, GuestFolio, |
| fdDisplayFolioSumm  | Summerized Guest Ledger    | YES       | Y    | Y     | Enviro, GUESTSTAT, GuestFolio, GuestPr |
| FdGrpCheckOut       | Room Check Out Entry       | YES       | Y    | Y     | Country, Depart, EPABX_IN, Employee, E |
| FdGrpdetCheckOut    | Room Check Out Entry       | YES       | Y    | Y     | EPABX_IN, Enviro, GUESTSTAT, GuestFoli |
| FdLookUpRoom        | Look Up Room               | YES       | Y    | Y     | RoomBlockOut, RoomCat, RoomMast, RoomO |
| FdLookUpRoomNo      | Display Rack               | YES       | Y    | Y     | DispColor, Dispcolor, ENVIRO, GuestFol |
| fdPaymentCharge     | Post Charges & Payment     | YES       | Y    | Y     | DepartPay, Employee, Enviro, GUESTFOLI |
| fdPostChrg          | Post Charges /Payments     | YES       | Y    | Y     | Enviro, GuestFolio, GuestProf, PAYCHAR |
| FdReSetlement       | Post Charges/Payment       | YES       | Y    | Y     | BillDet, DepartPay, Employee, Enviro,  |
| FdRevCheckOut       | Check Out Cancel           | YES       | Y    | Y     | EPABX_IN, Enviro, GUESTSTAT, GuestFoli |
| fdRoomChange        | Room Change                | YES       | Y    | Y     | EPABX_IN, FixedCharge, GUESTSTAT, Gues |
| FdRoomDisplay       | Room View                  | YES       | Y    | Y     | roommast                               |
| fdRoomOcc           | Reservation Look Up Room W | YES       | Y    | Y     | FAEnviro, GuestFolio, RateList, RoomBl |
| fdWalkInEntry       | Walk In / Check In Entry   | YES       | Y    | Y     | Booking, BookingPlanDetails, BussSourc |
| Form1               | Form1                      | no        | -    | -     |                                        |
|                     | note: Generic/scratch VB6 form |
| frmAdvanceDepDialog | Advance Deposit            | YES       | Y    | Y     | Booking, City, Employee, Enviro, Group |
| frmBlockMast        | Block Master               | YES       | -    | Y     | BlockMast                              |
| FrmBookingInquiry   | Booking Inquiry            | YES       | Y    | Y     | Booking, BookingDetail, BookingInquiry |
| FrmCalender         | Calender                   | YES       | -    | Y     |                                        |
| FrmChargeMast       | Charge Master              | YES       | Y    | Y     | RevMast, SubGroup, Subgroup, TaxStru,  |
| FrmClaimEntry       | Claim Entry                | YES       | Y    | Y     | Found, LostFoundDetail                 |
